"Group","Test%","Time"
"RQ",14.28571,31.87
"RQ",19.04762,90.63
"RQ",28.57143,25.88
"RQ",14.28571,27.98
"RQ",33.33333,52.83
"RQ",28.57143,71.62
"RQ",23.80952,65.5
"RQ",14.28571,36.03
"RQ",19.04762,23.47
"RQ",19.04762,26.73
"RQ",28.57143,32.83
"RQ",23.80952,39.55
"RQ",14.28571,31.42
"RQ",38.09524,25.27
"RQ",28.57143,54.23
"RQ",33.33333,39.42
"RQ",42.85714,51.77
"RQ",33.33333,107.05
"RQ",33.33333,23.42
"RQ",28.57143,69.37
"RQ",14.28571,29.58
"RQ",23.80952,36.08
"RQ",23.80952,40.52
"RQ",33.33333,24.13
"RQ",28.57143,44.8
"RQ",28.57143,25.77
"RQ",23.80952,27.98
"RQ",23.80952,49.05
"RQ",23.80952,28.58
"RQ",47.61905,58.8
"RQ",33.33333,55.67
"RQ",28.57143,26.13
"RQ",28.57143,29.58
"RQ",23.80952,25.1
"RQ",23.80952,NA
"RQ",47.61905,21.08
"RQ",47.61905,20.48
"RQ",42.85714,27.13
"RQ",28.57143,25.27
"RQ",23.80952,23.73
"RQ",42.85714,38.77
"RQ",42.85714,24.23
"RQ",33.33333,30.85
"RQ",28.57143,53.4
"RQ",28.57143,22.45
"RQ",38.09524,22
"RQ",38.09524,25.93
"RQ",33.33333,43.75
"RQ",23.80952,21.93
"RQ",52.38095,50.25
"RQ",47.61905,35.6
"RQ",28.57143,43.55
"RQ",57.14286,71.52
"RQ",42.85714,23.72
"RQ",38.09524,22.8
"RQ",57.14286,50.52
"RQ",33.33333,22.93
"RQ",28.57143,43.38
"RQ",47.61905,41.53
"RQ",47.61905,36.6
"RQ",47.61905,30.5
"RQ",42.85714,25.07
"RQ",61.90476,29.77
"RQ",52.38095,43.17
"RQ",47.61905,23.87
"RQ",47.61905,35.6
"RQ",38.09524,51.48
"RQ",57.14286,68.42
"RQ",47.61905,34.6
"RQ",61.90476,43.12
"RQ",57.14286,60.18
"RQ",47.61905,30.63
"RQ",47.61905,21.4
"RQ",47.61905,45.82
"RQ",42.85714,42.97
"RQ",61.90476,73.08
"RQ",61.90476,49.23
"RQ",61.90476,86.27
"RQ",66.66667,24.65
"RQ",66.66667,29.27
"RQ",61.90476,52.18
"RQ",61.90476,42.23
"RQ",57.14286,43.07
"RQ",71.42857,66.12
"RQ",71.42857,16.75
"RQ",61.90476,27.75
"RQ",76.19048,33.85
"RQ",71.42857,33.12
"RQ",66.66667,29.37
"RQ",66.66667,59.7
"RQ",76.19048,45.55
"RQ",71.42857,30.28
"RQ",90.47619,37.4
"RQ",85.71429,20.8
"RQ",95.2381,61.82
"QR",9.52381,35.38
"QR",23.80952,26.02
"QR",23.80952,32.77
"QR",14.28571,30.87
"QR",23.80952,NA
"QR",28.57143,27.18
"QR",19.04762,36.32
"QR",23.80952,87.93
"QR",28.57143,66.3
"QR",28.57143,NA
"QR",23.80952,NA
"QR",23.80952,22.98
"QR",19.04762,29.75
"QR",23.80952,64.62
"QR",23.80952,98.83
"QR",23.80952,24.52
"QR",9.52381,131.05
"QR",19.04762,NA
"QR",33.33333,69.23
"QR",23.80952,31.05
"QR",23.80952,76.58
"QR",42.85714,59.92
"QR",23.80952,29.08
"QR",33.33333,38.88
"QR",28.57143,22.63
"QR",33.33333,52.3
"QR",14.28571,23.52
"QR",33.33333,74.37
"QR",19.04762,36.32
"QR",23.80952,48.47
"QR",33.33333,43.3
"QR",19.04762,23.37
"QR",38.09524,76.85
"QR",33.33333,24.22
"QR",38.09524,29.42
"QR",38.09524,35.8
"QR",23.80952,63
"QR",23.80952,33.2
"QR",28.57143,59.97
"QR",38.09524,26.08
"QR",23.80952,33.97
"QR",19.04762,55.88
"QR",38.09524,107.1
"QR",33.33333,NA
"QR",38.09524,39.93
"QR",38.09524,41.45
"QR",28.57143,110.87
"QR",28.57143,57.33
"QR",47.61905,35.95
"QR",47.61905,36.77
"QR",47.61905,21.07
"QR",38.09524,38.25
"QR",38.09524,27.75
"QR",28.57143,38.95
"QR",33.33333,25.2
"QR",47.61905,32.58
"QR",38.09524,25.32
"QR",38.09524,116.87
"QR",33.33333,30.5
"QR",23.80952,33.32
"QR",28.57143,86.73
"QR",33.33333,27.48
"QR",38.09524,39.17
"QR",42.85714,38.42
"QR",42.85714,27.53
"QR",38.09524,100.12
"QR",33.33333,79.85
"QR",38.09524,67.38
"QR",33.33333,30.27
"QR",42.85714,45.9
"QR",33.33333,31.6
"QR",42.85714,NA
"QR",42.85714,39.42
"QR",38.09524,45.17
"QR",61.90476,34.68
"QR",33.33333,92.15
"QR",61.90476,80.9
"QR",42.85714,131.05
"QR",38.09524,43.98
"QR",47.61905,78.07
"QR",42.85714,50.57
"QR",57.14286,32.43
"QR",57.14286,33.52
"QR",57.14286,22.12
"QR",52.38095,35.13
"QR",57.14286,41.93
"QR",57.14286,29.6
"QR",61.90476,51.62
"QR",61.90476,70.52
"QR",66.66667,34.1
"QR",66.66667,45.33
"QR",71.42857,43.77
"QR",80.95238,26.42
"QR",85.71429,34.47
"QR",90.47619,28.68
