"MLS","Location","Price","Bedrooms","Bathrooms","Size (m2)","Status","Status_Code"
132842,"Arroyo Grande",795000,3,3,220.273013,"Short Sale",FALSE
134364,"Paso Robles",399000,4,3,261.800654,"Short Sale",FALSE
135141,"Paso Robles",545000,4,3,281.681896,"Short Sale",FALSE
135712,"Morro Bay",909000,4,4,328.87662,"Short Sale",FALSE
136282,"Santa Maria-Orcutt",109900,3,1,116.035847,"Short Sale",FALSE
136431,"Oceano",324900,3,3,167.2254,"Short Sale",FALSE
137036,"Santa Maria-Orcutt",192900,4,2,148.923509,"Short Sale",FALSE
137090,"Santa Maria-Orcutt",215000,3,2,134.70935,"Short Sale",FALSE
137159,"Morro Bay",999000,4,3,312.15408,"Short Sale",FALSE
137570,"Atascadero",319000,3,2,122.910669,"Short Sale",FALSE
138053,"Santa Maria-Orcutt",350000,3,2,162.58025,"Short Sale",FALSE
138730,"Santa Maria-Orcutt",249000,3,2,130.0642,"Short Sale",FALSE
139291,"Arroyo Grande",299000,2,2,116.779071,"Short Sale",FALSE
139427,"Santa Maria-Orcutt",235900,3,2,130.0642,"Short Sale",FALSE
139461,"Santa Maria-Orcutt",348000,3,2,148.6448,"Short Sale",FALSE
139661,"Paso Robles",314000,4,3,166.667982,"Short Sale",FALSE
139918,"Los Alamos",399000,4,2,171.87055,"Short Sale",FALSE
139932,"San Miguel",599000,3,3,274.06385,"Short Sale",FALSE
140044,"Paso Robles",299000,3,2,159.700257,"Short Sale",FALSE
140073,"San Luis Obispo",425000,3,3,136.753216,"Short Sale",FALSE
140077,"Morro Bay",1100000,4,3,387.219704,"Short Sale",FALSE
140080,"Cayucos",1500000,3,3,360.46364,"Short Sale",FALSE
140113,"Santa Maria-Orcutt",110000,2,1,92.903,"Short Sale",FALSE
140395,"Santa Maria-Orcutt",200000,3,2,105.816517,"Short Sale",FALSE
140460,"Santa Maria-Orcutt",134900,3,1,100.33524,"Short Sale",FALSE
140703,"Santa Maria-Orcutt",250000,4,3,185.806,"Short Sale",FALSE
140720,"Pismo Beach",950000,3,4,178.37376,"Short Sale",FALSE
140731,"Santa Maria-Orcutt",239950,4,2,125.233244,"Short Sale",FALSE
141188,"Santa Maria-Orcutt",170000,3,2,118.91584,"Short Sale",FALSE
141212,"Santa Maria-Orcutt",285000,3,2,222.9672,"Short Sale",FALSE
141232,"Santa Maria-Orcutt",279000,3,3,157.9351,"Short Sale",FALSE
141529,"Santa Maria-Orcutt",219000,3,2,148.6448,"Short Sale",FALSE
141541,"Santa Maria-Orcutt",155000,3,2,97.54815,"Short Sale",FALSE
141737,"Atascadero",389000,3,2,131.457745,"Short Sale",FALSE
141847,"Nipomo",340000,3,1,103.12233,"Short Sale",FALSE
141869,"Guadalupe",95000,2,1,74.043691,"Short Sale",FALSE
142216,"Santa Maria-Orcutt",140000,2,2,102.1933,"Short Sale",FALSE
142340,"Pismo Beach",1100000,3,3,241.733606,"Short Sale",FALSE
142442,"Santa Maria-Orcutt",360000,4,3,218.414953,"Short Sale",FALSE
142528,"Morro Bay",415000,3,3,125.41905,"Short Sale",FALSE
142539,"Santa Maria-Orcutt",250000,4,2,112.041018,"Short Sale",FALSE
142585,"Santa Maria-Orcutt",559000,3,3,244.149084,"Short Sale",FALSE
142818,"Nipomo",525000,3,3,219.715595,"Short Sale",FALSE
142829,"Los Osos",779000,3,3,277.77997,"Short Sale",FALSE
142870,"Arroyo Grande",595000,3,2,162.58025,"Short Sale",FALSE
142977,"Templeton",1150000,4,5,510.9665,"Short Sale",FALSE
143037,"Templeton",550000,3,2,172.056356,"Short Sale",FALSE
143155,"Grover Beach",500000,3,2,195.0963,"Short Sale",FALSE
143170,"Santa Maria-Orcutt",279000,4,3,239.68974,"Short Sale",FALSE
143178,"Santa Maria-Orcutt",375000,4,2,182.368589,"Short Sale",FALSE
143217,"Santa Maria-Orcutt",330000,3,3,176.5157,"Short Sale",FALSE
143252,"Santa Maria-Orcutt",199000,3,3,134.70935,"Short Sale",FALSE
143255,"Santa Maria-Orcutt",165000,2,2,92.903,"Short Sale",FALSE
143436,"Templeton",1399000,4,3,603.8695,"Foreclosure",TRUE
143507,"Santa Maria-Orcutt",255000,3,2,113.155854,"Short Sale",FALSE
143524,"Cambria",325000,2,2,82.962379,"Short Sale",FALSE
143534,"Morro Bay",789000,3,3,195.0963,"Foreclosure",TRUE
143540,"Nipomo",498000,4,3,217.485923,"Short Sale",FALSE
143884,"Nipomo",430000,4,2,201.413704,"Short Sale",FALSE
143946,"Paso Robles",539900,4,3,281.681896,"Short Sale",FALSE
