"Group","Test%","Time"
"Reread",14.28571,25.15
"Reread",19.04762,12.98
"Reread",9.52381,23.72
"Reread",23.80952,12.13
"Reread",19.04762,38.45
"Reread",14.28571,14.57
"Reread",23.80952,14.07
"Reread",23.80952,22.5
"Reread",14.28571,7.4
"Reread",28.57143,10.3
"Reread",23.80952,14.92
"Reread",19.04762,31.52
"Reread",19.04762,7.17
"Reread",28.57143,16.72
"Reread",28.57143,20.97
"Reread",28.57143,15.6
"Reread",28.57143,10.32
"Reread",23.80952,16.73
"Reread",19.04762,12.28
"Reread",14.28571,13.2
"Reread",33.33333,11.02
"Reread",28.57143,20.53
"Reread",19.04762,13.22
"Reread",14.28571,14.25
"Reread",23.80952,15.92
"Reread",28.57143,15.85
"Reread",28.57143,20.37
"Reread",33.33333,17.42
"Reread",19.04762,35.63
"Reread",33.33333,13.92
"Reread",23.80952,38.45
"Reread",28.57143,22.98
"Reread",33.33333,15.6
"Reread",28.57143,14.38
"Reread",23.80952,21.73
"Reread",33.33333,13.5
"Reread",28.57143,16.68
"Reread",28.57143,16.62
"Reread",42.85714,29.25
"Reread",38.09524,21.42
"Reread",23.80952,14.58
"Reread",28.57143,12.62
"Reread",38.09524,9.68
"Reread",33.33333,18.95
"Reread",23.80952,15.73
"Reread",33.33333,12.7
"Reread",33.33333,24.77
"Reread",33.33333,14.55
"Reread",28.57143,20.87
"Reread",38.09524,14.08
"Reread",28.57143,14.33
"Reread",42.85714,24.88
"Reread",38.09524,22.08
"Reread",33.33333,38.45
"Reread",47.61905,26.65
"Reread",42.85714,22.7
"Reread",38.09524,18.55
"Reread",42.85714,12.18
"Reread",28.57143,32.35
"Reread",52.38095,13.23
"Reread",42.85714,25.85
"Reread",38.09524,28.18
"Reread",42.85714,NA
"Reread",47.61905,17.55
"Reread",38.09524,22.82
"Reread",33.33333,20.17
"Reread",38.09524,13.17
"Reread",38.09524,22.5
"Reread",42.85714,38.45
"Reread",52.38095,38.45
"Reread",47.61905,17.62
"Reread",42.85714,17
"Reread",47.61905,17.75
"Reread",52.38095,13.65
"Reread",52.38095,16.65
"Reread",52.38095,18.02
"Reread",52.38095,17.28
"Reread",38.09524,14.45
"Reread",57.14286,24.68
"Reread",38.09524,15.97
"Reread",52.38095,10.9
"Reread",61.90476,15.08
"Reread",57.14286,16.05
"Reread",66.66667,12.3
"Reread",52.38095,14.53
"Reread",61.90476,11.92
"Reread",57.14286,17.48
"Reread",66.66667,14.28
"Reread",52.38095,13.8
"Reread",66.66667,18.72
"Reread",66.66667,22.02
"Reread",61.90476,18
"Reread",66.66667,22.72
"Reread",76.19048,21.72
"Reread",76.19048,16.38
"Quiz",14.28571,31.87
"Quiz",19.04762,90.63
"Quiz",28.57143,25.88
"Quiz",14.28571,27.98
"Quiz",33.33333,52.83
"Quiz",28.57143,71.62
"Quiz",23.80952,65.5
"Quiz",14.28571,36.03
"Quiz",19.04762,23.47
"Quiz",19.04762,26.73
"Quiz",28.57143,32.83
"Quiz",23.80952,39.55
"Quiz",14.28571,31.42
"Quiz",38.09524,25.27
"Quiz",28.57143,54.23
"Quiz",33.33333,39.42
"Quiz",42.85714,51.77
"Quiz",33.33333,107.05
"Quiz",33.33333,23.42
"Quiz",28.57143,69.37
"Quiz",14.28571,29.58
"Quiz",23.80952,36.08
"Quiz",23.80952,40.52
"Quiz",33.33333,24.13
"Quiz",28.57143,44.8
"Quiz",28.57143,25.77
"Quiz",23.80952,27.98
"Quiz",23.80952,49.05
"Quiz",23.80952,28.58
"Quiz",47.61905,58.8
"Quiz",33.33333,55.67
"Quiz",28.57143,26.13
"Quiz",28.57143,29.58
"Quiz",23.80952,25.1
"Quiz",23.80952,NA
"Quiz",47.61905,21.08
"Quiz",47.61905,20.48
"Quiz",42.85714,27.13
"Quiz",28.57143,25.27
"Quiz",23.80952,23.73
"Quiz",42.85714,38.77
"Quiz",42.85714,24.23
"Quiz",33.33333,30.85
"Quiz",28.57143,53.4
"Quiz",28.57143,22.45
"Quiz",38.09524,22
"Quiz",38.09524,25.93
"Quiz",33.33333,43.75
"Quiz",23.80952,21.93
"Quiz",52.38095,50.25
"Quiz",47.61905,35.6
"Quiz",28.57143,43.55
"Quiz",57.14286,71.52
"Quiz",42.85714,23.72
"Quiz",38.09524,22.8
"Quiz",57.14286,50.52
"Quiz",33.33333,22.93
"Quiz",28.57143,43.38
"Quiz",47.61905,41.53
"Quiz",47.61905,36.6
"Quiz",47.61905,30.5
"Quiz",42.85714,25.07
"Quiz",61.90476,29.77
"Quiz",52.38095,43.17
"Quiz",47.61905,23.87
"Quiz",47.61905,35.6
"Quiz",38.09524,51.48
"Quiz",57.14286,68.42
"Quiz",47.61905,34.6
"Quiz",61.90476,43.12
"Quiz",57.14286,60.18
"Quiz",47.61905,30.63
"Quiz",47.61905,21.4
"Quiz",47.61905,45.82
"Quiz",42.85714,42.97
"Quiz",61.90476,73.08
"Quiz",61.90476,49.23
"Quiz",61.90476,86.27
"Quiz",66.66667,24.65
"Quiz",66.66667,29.27
"Quiz",61.90476,52.18
"Quiz",61.90476,42.23
"Quiz",57.14286,43.07
"Quiz",71.42857,66.12
"Quiz",71.42857,16.75
"Quiz",61.90476,27.75
"Quiz",76.19048,33.85
"Quiz",71.42857,33.12
"Quiz",66.66667,29.37
"Quiz",66.66667,59.7
"Quiz",76.19048,45.55
"Quiz",71.42857,30.28
"Quiz",90.47619,37.4
"Quiz",85.71429,20.8
"Quiz",95.2381,61.82
"Prequiz",9.52381,35.38
"Prequiz",23.80952,26.02
"Prequiz",23.80952,32.77
"Prequiz",14.28571,30.87
"Prequiz",23.80952,NA
"Prequiz",28.57143,27.18
"Prequiz",19.04762,36.32
"Prequiz",23.80952,87.93
"Prequiz",28.57143,66.3
"Prequiz",28.57143,NA
"Prequiz",23.80952,NA
"Prequiz",23.80952,22.98
"Prequiz",19.04762,29.75
"Prequiz",23.80952,64.62
"Prequiz",23.80952,98.83
"Prequiz",23.80952,24.52
"Prequiz",9.52381,131.05
"Prequiz",19.04762,NA
"Prequiz",33.33333,69.23
"Prequiz",23.80952,31.05
"Prequiz",23.80952,76.58
"Prequiz",42.85714,59.92
"Prequiz",23.80952,29.08
"Prequiz",33.33333,38.88
"Prequiz",28.57143,22.63
"Prequiz",33.33333,52.3
"Prequiz",14.28571,23.52
"Prequiz",33.33333,74.37
"Prequiz",19.04762,36.32
"Prequiz",23.80952,48.47
"Prequiz",33.33333,43.3
"Prequiz",19.04762,23.37
"Prequiz",38.09524,76.85
"Prequiz",33.33333,24.22
"Prequiz",38.09524,29.42
"Prequiz",38.09524,35.8
"Prequiz",23.80952,63
"Prequiz",23.80952,33.2
"Prequiz",28.57143,59.97
