"ID","UnethOld","UnethNew","AccurOld","AccurNew"
"1",45.23993,31.98993,1.16667,1.33333
"2",87.34144,87.0081,1,1.16667
"3",45.39689,67.06356,2.16667,1.83333
"4",99.41315,99.41315,1,1.66667
"5",83.7184,94.30174,1.5,2.33333
"6",89.266,63.68267,1,1.16667
"7",94.24664,99.32997,1,1
"8",56.86033,70.027,1.33333,1.16667
"9",100,100,1.16667,1.16667
"10",4.64886,17.81553,3.16667,2.66667
"11",92.10251,95.76918,1,1
"12",51.36741,51.36741,1.33333,2.16667
"13",100,100,1,1
"14",68.60582,55.77248,1,1
"15",50.33784,54.92118,1.16667,1.5
"16",43.80965,41.39298,1.16667,1.33333
"17",54.40597,56.7393,1,1
"18",41.82147,34.23814,1,1
"19",75.24322,69.82656,1.66667,1.83333
"20",89.41801,100,1,1
"21",2.96978,29.46978,1,1
"22",34.78627,45.70294,2.16667,2.16667
"23",75.75361,52.92027,1,1
"24",96.89783,96.89783,1,1
"25",73.07032,89.15365,1.16667,1
"26",31.90331,36.06998,1.33333,1
"27",76.85383,87.18716,1,1
"28",51.4234,59.6734,1,1
"29",58.2773,63.7773,2.16667,1.5
"30",65.78089,56.61423,1.83333,1.66667
"31",37.40019,64.40019,1,1
"32",50.98223,54.31556,2,1.16667
"33",73.31299,68.97966,2,1.83333
"34",100,100,1,1
"35",16.56281,45.81281,4,1.5
"36",91.34589,93.59589,1,1
"37",61.25367,55.17034,1.16667,1.33333
"38",80.83971,80.92304,1,1
"39",42.91024,63.49357,2,2.16667
"40",47.50841,39.09174,1.5,1.66667
"41",85.85305,90.85305,1,1
"42",81.68491,79.60158,1.83333,1.83333
"43",50.69005,78.69005,1.66667,1.16667
"44",15.27607,97.94274,2.16667,1.16667
"45",100,100,1,1
"46",0,23.92908,1,1
"47",51.5585,51.5585,1,1
"48",94.52454,93.02454,1,1
"49",89.20147,82.70147,1.16667,1.16667
"50",71.6495,84.06616,1.83333,1.66667
"51",12.9571,49.2071,2,2.5
"52",94.69222,65.85889,2.5,2.5
"53",56.01483,97.26483,2,1.33333
"54",12.76579,62.43246,2.16667,1.5
"55",29.14627,49.9796,1.83333,2.16667
"56",67.49979,84.08312,1,1
"57",76.14465,83.72798,2,1.66667
"58",68.08123,75.7479,1.66667,1.16667
"59",63.32803,56.2447,1,1
"60",90.16401,90.74734,1,1.16667
"61",95.52549,95.94216,1,1
"62",44.51905,35.26905,1.33333,2.5
"63",50.55092,49.71759,3,2.5
"64",94.32848,89.66182,1,1
"65",63.39348,48.22681,3,2.66667
"66",97.11006,84.19339,1.16667,1.66667
"67",50.30103,52.63436,1,1
"68",56.24616,54.91282,3.5,3.5
"69",97.25927,96.84261,1,1
"70",42.5522,63.38554,2.33333,1.5
"71",59.60094,51.51761,1.16667,1
"72",98.32325,98.32325,1,1
"73",36.86709,80.36709,1,1
"74",13.96056,30.87722,2.33333,2.33333
"75",52.90529,54.90529,4,3.5
"76",52.06426,51.31426,2.66667,2.5
"77",74.91799,62.33465,1,2.33333
"78",60.39792,83.31458,1.83333,1.16667
"79",69.08514,74.08514,1,1
"80",86.91785,94.41785,1,1.33333
"81",61.17894,51.01227,1.16667,1.5
"82",42.83232,49.33232,2,2.16667
"83",33.92066,40.17066,2,2
"84",50.70222,51.11888,1,1
"85",53.14381,46.47714,1,1
"86",100,100,1,1
"87",98.01936,99.10269,1,1
"88",78.51192,66.09525,1.33333,1.83333
"89",90.1312,88.79787,1,1
"90",56.35405,68.02072,1,1
"91",3.40837,3.82504,2,2
"92",100,100,1,1
"93",100,100,1,1
"94",88.00921,92.84255,1,1
"95",64.58207,88.83207,2,1
"96",78.23394,83.15061,1.16667,1
"97",88.56917,92.1525,1,1
"98",45.82352,48.40686,2.33333,2.5
"99",66.93807,74.7714,1,1
"100",75.91429,45.24763,1.5,1.83333
"101",98.40553,98.40553,1,1
"102",75.90933,63.326,1.83333,2
"103",74.55405,97.30405,1,1
"104",41.67173,32.8384,2.16667,2.83333
"105",70.7444,58.32773,1,1.16667
"106",96.51746,95.68413,1,1
"107",76.34265,69.92598,1.5,1.16667
"108",72.90349,63.40349,1.5,1.33333
"109",100,100,1,1
"110",100,100,1,1
"111",45.10979,40.94312,1.33333,1.5
"112",89.40779,95.65779,1,1
"113",100,91.66667,1,1
"114",51.07385,48.57385,1.83333,1.83333
"115",99.60101,99.60101,1.83333,1.83333
"116",70.08979,76.25646,1,1.16667
"117",92.27435,92.19101,1,1
"118",86.87412,85.20745,1.5,1.66667
"119",62.29319,50.12652,1,1
"120",98.2524,97.58573,1,1
"121",99.31391,100,1,1
"122",39.79045,81.79045,1,1
"123",84.84303,98.17637,1.16667,1.16667
"124",92.34329,90.84329,1,1
"125",85.42976,42.92976,1,2.33333
"126",47.88105,54.04771,3.16667,3.5
"127",41.08366,45.75032,1,1
"128",30.6695,48.25284,2.16667,1.66667
"129",99.27491,97.02491,1,1.16667
"130",60.97833,69.56167,1.5,1
"131",97.26008,97.01008,1,1
"132",77.85708,67.60708,1.66667,1.83333
"133",24.88928,40.72261,1,1
"134",54.77743,91.27743,1.83333,1.5
"135",77.92069,84.00402,1.33333,1.66667
"136",30.20438,34.03771,1,1.33333
"137",51.38055,45.38055,1.33333,1
"138",33.65716,60.07383,2,1.66667
